GAME_ID,MP,VISITOR_FG,VISITOR_FGA,VISITOR_FG%,VISITOR_3P,VISITOR_3PA,VISITOR_3P%,VISITOR_FT,VISITOR_FTA,VISITOR_FT%,VISITOR_ORB,VISITOR_DRB,VISITOR_TRB,VISITOR_AST,VISITOR_STL,VISITOR_BLK,VISITOR_TOV,VISITOR_PF,VISITOR_PTS,VISITOR_PLUS_MIN,MP2,VISITOR_TS%,VISITOR_eFG%,VISITOR_3PAr,VISITOR_FTr,VISITOR_ORB%,VISITOR_DRB%,VISITOR_TRB%,VISITOR_AST%,VISITOR_STL%,VISITOR_BLK%,VISITOR_TOV%,VISITOR_USG%,VISITOR_ORtg,VISITOR_DRtg,MP3,HOME_FG,HOME_FGA,HOME_FG%,HOME_3P,HOME_3PA,HOME_3P%,HOME_FT,HOME_FTA,HOME_FT%,HOME_ORB,HOME_DRB,HOME_TRB,HOME_AST,HOME_STL,HOME_BLK,HOME_TOV,HOME_PF,HOME_PTS,HOME_PLUS_MIN,MP4,HOME_TS%,HOME_eFG%,HOME_3PAr,HOME_FTr,HOME_ORB%,HOME_DRB%,HOME_TRB%,HOME_AST%,HOME_STL%,HOME_BLK%,HOME_TOV%,HOME_USG%,HOME_ORtg,HOME_DRtg
200611010BOS,240,36,84,.429,1,11,.091,18,33,.545,10,36,46,17,6,4,15,31,91,,240,.462,.435,.131,.393,19.2,78.3,46.9,47.2,6.0,6.8,13.2,100.0,90.3,86.4,240,30,75,.400,3,16,.188,24,39,.615,10,42,52,18,5,6,19,31,87,,240,.472,.420,.213,.520,21.7,80.8,53.1,60.0,5.0,8.2,17.1,100.0,86.4,90.3
200611010CHA,240,35,86,.407,6,16,.375,30,41,.732,18,32,50,26,14,5,17,26,106,,240,.509,.442,.186,.477,34.0,74.4,52.1,74.3,13.8,7.4,14.0,100.0,104.7,97.8,240,37,78,.474,4,10,.400,21,32,.656,11,35,46,23,8,7,22,29,99,,240,.538,.500,.128,.410,25.6,66.0,47.9,62.2,7.9,10.0,19.3,100.0,97.8,104.7
200611010CLE,240,36,77,.468,2,13,.154,20,29,.690,9,24,33,22,7,4,11,26,94,,240,.524,.481,.169,.377,20.9,60.0,39.8,61.1,7.8,6.8,10.9,100.0,105.1,108.5,240,37,78,.474,8,19,.421,15,30,.500,16,34,50,24,4,4,16,25,97,,240,.532,.526,.244,.385,40.0,79.1,60.2,64.9,4.5,6.3,14.9,100.0,108.5,105.1
200611010DET,240,43,93,.462,2,14,.143,17,25,.680,11,27,38,26,12,0,8,25,105,,240,.505,.473,.151,.269,23.9,67.5,44.2,60.5,12.5,0.0,7.1,100.0,109.6,101.3,240,31,72,.431,8,21,.381,27,34,.794,13,35,48,19,3,9,22,23,97,,240,.558,.486,.292,.472,32.5,76.1,55.8,61.3,3.1,11.4,20.2,100.0,101.3,109.6
200611010GSW,240,39,86,.453,5,17,.294,27,41,.659,19,36,55,29,6,4,16,30,110,,240,.529,.483,.198,.477,35.8,75.0,54.5,74.4,6.1,6.3,13.3,100.0,112.1,99.8,240,34,82,.415,3,19,.158,27,42,.643,12,34,46,18,6,4,10,31,98,,240,.488,.433,.232,.512,25.0,64.2,45.5,52.9,6.1,5.8,9.1,100.0,99.8,112.1
200611010MEM,315,40,95,.421,10,22,.455,28,36,.778,18,38,56,22,6,7,23,42,118,,315,.532,.474,.232,.379,34.0,62.3,49.1,55.0,5.4,8.3,17.2,100.0,105.8,104.9,315,42,105,.400,6,21,.286,27,45,.600,23,35,58,14,6,8,13,32,117,,315,.469,.429,.200,.429,37.7,66.0,50.9,33.3,5.4,11.0,9.4,100.0,104.9,105.8
200611010MIN,240,31,89,.348,3,15,.200,18,25,.720,22,29,51,13,10,2,18,21,83,,240,.415,.365,.169,.281,40.7,82.9,57.3,41.9,10.9,3.2,15.3,100.0,90.3,100.0,240,35,72,.486,4,9,.444,18,20,.900,6,32,38,19,7,7,19,26,92,,240,.569,.514,.125,.278,17.1,59.3,42.7,54.3,7.6,9.5,19.0,100.0,100.0,90.3
200611010NJN,240,37,94,.394,4,20,.200,14,20,.700,7,31,38,21,8,5,15,27,92,,240,.447,.415,.213,.213,14.0,77.5,42.2,56.8,7.6,8.3,12.7,100.0,87.7,97.2,240,40,78,.513,3,18,.167,19,24,.792,9,43,52,28,2,5,23,26,102,,240,.576,.532,.231,.308,22.5,86.0,57.8,70.0,1.9,6.8,20.6,100.0,97.2,87.7
200611010ORL,240,37,82,.451,6,20,.300,14,24,.583,11,16,27,21,7,0,15,31,94,,240,.508,.488,.244,.293,26.8,72.7,42.9,56.8,7.5,0.0,13.9,100.0,101.4,117.5,240,35,59,.593,6,8,.750,33,42,.786,6,30,36,21,7,7,23,23,109,,240,.703,.644,.136,.712,27.3,73.2,57.1,60.0,7.5,11.3,22.9,100.0,117.5,101.4
200611010PHI,240,26,78,.333,4,17,.235,19,22,.864,17,25,42,11,9,4,18,24,75,,240,.428,.359,.218,.282,34.7,62.5,47.2,42.3,10.7,6.2,17.0,100.0,89.2,104.6,240,31,74,.419,3,9,.333,23,25,.920,15,32,47,19,10,6,16,22,88,,240,.518,.439,.122,.338,37.5,65.3,52.8,61.3,11.9,9.8,15.8,100.0,104.6,89.2
