GAME_ID,SEASON,DAY_OF_WEEK,MONTH,DAY,YEAR,HOUR,VISITOR_TEAM,VISITOR_POINTS,HOME_TEAM,HOME_POINTS,OT,OTHER
201206010BOS,2012,Fri,06,1,2012,8:30 pm,Miami,91,Boston,101,"18,624"
201206020OKC,2012,Sat,06,2,2012,7:30 pm,San Antonio,103,Oklahoma City Thunder,109,"18,203"
201206030BOS,2012,Sun,06,3,2012,8:30 pm,Miami,91,Boston,93,OT,"18,624"
201206040SAS,2012,Mon,06,4,2012,8:00 pm,Oklahoma City Thunder,108,San Antonio,103,"18,581"
201206050MIA,2012,Tue,06,5,2012,8:30 pm,Boston,94,Miami,90,"20,021"
201206060OKC,2012,Wed,06,6,2012,8:00 pm,San Antonio,99,Oklahoma City Thunder,107,"18,203"
201206070BOS,2012,Thu,06,7,2012,8:30 pm,Miami,98,Boston,79,"18,624"
201206090MIA,2012,Sat,06,9,2012,8:30 pm,Boston,88,Miami,101,"20,114"
201206120OKC,2012,Tue,06,12,2012,8:00 pm,Miami,94,Oklahoma City Thunder,105,"18,203"
201206140OKC,2012,Thu,06,14,2012,8:00 pm,Miami,100,Oklahoma City Thunder,96,"18,203"
201206170MIA,2012,Sun,06,17,2012,8:00 pm,Oklahoma City Thunder,85,Miami,91,"20,003"
201206190MIA,2012,Tue,06,19,2012,9:00 pm,Oklahoma City Thunder,98,Miami,104,"20,003"
201206210MIA,2012,Thu,06,21,2012,9:00 pm,Oklahoma City Thunder,106,Miami,121,"20,003"
201205010ATL,2012,Tue,05,1,2012,7:30 pm,Boston,87,Atlanta,80,"19,308"
201205010CHI,2012,Tue,05,1,2012,7:00 pm,Philadelphia,109,Chicago,92,"22,067"
201205010LAL,2012,Tue,05,1,2012,7:30 pm,Denver,100,L.A. Lakers,104,"18,997"
201205020MEM,2012,Wed,05,2,2012,8:30 pm,L.A. Clippers,98,Memphis,105,"18,119"
201205020ORL,2012,Wed,05,2,2012,7:30 pm,Indiana,97,Orlando,74,"18,846"
201205020SAS,2012,Wed,05,2,2012,6:00 pm,Utah,83,San Antonio,114,"18,581"
201205030DAL,2012,Thu,05,3,2012,8:30 pm,Oklahoma City Thunder,95,Dallas,79,"20,640"
201205030NYK,2012,Thu,05,3,2012,7:00 pm,Miami,87,New York,70,"19,763"
201205040BOS,2012,Fri,05,4,2012,7:30 pm,Atlanta,84,Boston,90,OT,"18,624"
201205040DEN,2012,Fri,05,4,2012,8:30 pm,L.A. Lakers,84,Denver,99,"19,155"
201205040PHI,2012,Fri,05,4,2012,8:00 pm,Chicago,74,Philadelphia,79,"20,381"
201205050DAL,2012,Sat,05,5,2012,6:30 pm,Oklahoma City Thunder,103,Dallas,97,"20,533"
201205050LAC,2012,Sat,05,5,2012,1:30 pm,Memphis,86,L.A. Clippers,87,"19,060"
201205050ORL,2012,Sat,05,5,2012,2:00 pm,Indiana,101,Orlando,99,OT,"18,846"
201205050UTA,2012,Sat,05,5,2012,8:00 pm,San Antonio,102,Utah,90,"19,911"
201205060BOS,2012,Sun,05,6,2012,7:00 pm,Atlanta,79,Boston,101,"18,624"
201205060DEN,2012,Sun,05,6,2012,7:30 pm,L.A. Lakers,92,Denver,88,"19,155"
201205060NYK,2012,Sun,05,6,2012,3:30 pm,Miami,87,New York,89,"19,763"
201205060PHI,2012,Sun,05,6,2012,1:00 pm,Chicago,82,Philadelphia,89,"20,412"
201205070LAC,2012,Mon,05,7,2012,7:30 pm,Memphis,97,L.A. Clippers,101,OT,"19,167"
201205070UTA,2012,Mon,05,7,2012,6:00 pm,San Antonio,87,Utah,81,"19,911"
201205080ATL,2012,Tue,05,8,2012,8:00 pm,Boston,86,Atlanta,87,"19,319"
201205080CHI,2012,Tue,05,8,2012,8:30 pm,Philadelphia,69,Chicago,77,"22,093"
201205080IND,2012,Tue,05,8,2012,7:00 pm,Orlando,87,Indiana,105,"18,165"
201205080LAL,2012,Tue,05,8,2012,7:30 pm,Denver,102,L.A. Lakers,99,"18,997"
201205090MEM,2012,Wed,05,9,2012,8:30 pm,L.A. Clippers,80,Memphis,92,"18,119"
201205090MIA,2012,Wed,05,9,2012,7:00 pm,New York,94,Miami,106,"19,754"
201205100BOS,2012,Thu,05,10,2012,8:00 pm,Atlanta,80,Boston,83,"18,624"
201205100DEN,2012,Thu,05,10,2012,8:30 pm,L.A. Lakers,96,Denver,113,"19,770"
201205100PHI,2012,Thu,05,10,2012,7:00 pm,Chicago,78,Philadelphia,79,"20,362"
201205110LAC,2012,Fri,05,11,2012,6:00 pm,Memphis,90,L.A. Clippers,88,"19,060"
201205120BOS,2012,Sat,05,12,2012,8:00 pm,Philadelphia,91,Boston,92,"18,624"
201205120LAL,2012,Sat,05,12,2012,7:30 pm,Denver,87,L.A. Lakers,96,"18,997"
201205130MEM,2012,Sun,05,13,2012,12:00 pm,L.A. Clippers,82,Memphis,72,"18,119"
201205130MIA,2012,Sun,05,13,2012,3:30 pm,Indiana,86,Miami,95,"19,600"
201205140BOS,2012,Mon,05,14,2012,7:00 pm,Philadelphia,82,Boston,81,"18,624"
201205140OKC,2012,Mon,05,14,2012,8:30 pm,L.A. Lakers,90,Oklahoma City Thunder,119,"18,203"
