YEAR,MONTH,DAY,VISITOR_TEAM,HOME_TEAM,MIN_LINE,MAX_LINE,AVERAGE_LINE
2006,11,01,Atlanta,Philadelphia,198.5,199.5,198.9
2006,11,01,Indiana,Charlotte,192.5,193.5,193.43333333333334
2006,11,01,Chicago,Orlando,183.5,187.5,183.76666666666668
2006,11,01,New Orleans,Boston,195.5,198.5,197.5
2006,11,01,Toronto,Brooklyn,195.5,202.5,201.36666666666667
2006,11,01,Sacramento,Minnesota,184.5,187.5,185.1
2006,11,01,Milwaukee,Detroit,189.5,194.5,194.16666666666666
2006,11,01,Washington,Cleveland,194.5,194.5,194.5
2006,11,01,New York,Memphis,184.5,196.5,195.03333333333333
2006,11,01,Houston,Utah,179.5,185.5,180.3
2006,11,01,L.A. Clippers,Phoenix,210.5,213.5,211.76666666666668
2006,11,01,L.A. Lakers,Golden State,199.5,205.5,204.56666666666666
2006,11,02,San Antonio,Dallas,182.5,187.5,182.83333333333334
2006,11,02,Denver,L.A. Clippers,200.5,209.5,208.76666666666668
2006,11,03,Milwaukee,Toronto,201.5,208.5,207.36666666666667
2006,11,03,Philadelphia,Orlando,191.5,194.5,191.7
2006,11,03,New Orleans,Indiana,190.5,193.5,192.63333333333333
2006,11,03,Detroit,Boston,192.5,195.5,194.76666666666668
2006,11,03,New York,Atlanta,202.5,204.5,204.36666666666667
2006,11,03,Brooklyn,Miami,185.5,191.5,187.1
2006,11,03,Charlotte,Memphis,187.5,190.5,188.76666666666668
2006,11,03,Cleveland,San Antonio,184.5,187.5,184.7
2006,11,03,Sacramento,Chicago,183.5,186.5,186.3
2006,11,03,Minnesota,Denver,193.5,198.5,198.16666666666666
2006,11,03,Utah,Phoenix,209.5,213.5,212.43333333333334
2006,11,03,Portland,Golden State,203.5,207.5,207.23333333333332
2006,11,04,Boston,Washington,200.5,200.5,200.5
2006,11,04,Cleveland,Charlotte,192.5,195.5,192.83333333333334
2006,11,04,Indiana,New York,203.5,203.5,203.5
2006,11,04,Memphis,Detroit,182.5,188.5,182.9
2006,11,04,Sacramento,Milwaukee,192.5,193.5,192.7
2006,11,04,Dallas,Houston,184.5,186.5,184.9
2006,11,04,Golden State,Utah,206.5,209.5,206.96666666666667
2006,11,04,Minnesota,Portland,188.5,193.5,189.5
2006,11,04,Phoenix,L.A. Clippers,211.5,217.5,212.03333333333333
2006,11,05,San Antonio,Toronto,192.5,192.5,192.5
2006,11,05,Miami,Philadelphia,188.5,189.5,188.63333333333333
2006,11,05,Orlando,Atlanta,194.5,198.5,194.76666666666668
2006,11,05,Houston,New Orleans,182.5,189.5,182.96666666666667
2006,11,06,Washington,Orlando,203.5,204.5,203.76666666666668
2006,11,06,San Antonio,New York,192.5,194.5,194.36666666666667
2006,11,06,Milwaukee,Chicago,190.5,191.5,190.63333333333333
2006,11,06,Golden State,Dallas,199.5,200.5,200.43333333333334
2006,11,06,Detroit,Utah,190.5,191.5,190.56666666666666
2006,11,06,Minnesota,Sacramento,181.5,187.5,187.1
2006,11,06,Portland,L.A. Clippers,193.5,200.5,194.63333333333333
2006,11,07,Atlanta,Cleveland,187.5,187.5,187.5
2006,11,07,Philadelphia,Indiana,196.5,198.5,198.36666666666667
