YEAR,MONTH,DAY,VISITOR_TEAM,HOME_TEAM,MIN_LINE,MAX_LINE,AVERAGE_LINE
2016,11,01,Houston,Cleveland,217.5,217.5,217.5
2016,11,01,L.A. Lakers,Indiana,213.5,214.5,213.5
2016,11,01,Orlando,Philadelphia,198.5,198.5,198.5
2016,11,01,New York,Detroit,202.5,203.5,202.625
2016,11,01,Sacramento,Miami,199.5,199.5,199.5
2016,11,01,Memphis,Minnesota,197.5,198.5,197.875
2016,11,01,Milwaukee,New Orleans,204.5,204.5,204.5
2016,11,01,Utah,San Antonio,186.5,186.5,186.5
2016,11,01,Golden State,Portland,225.5,226.5,226.0
2016,11,02,Toronto,Washington,204.5,205.5,205.375
2016,11,02,Philadelphia,Charlotte,197.5,197.5,197.5
2016,11,02,L.A. Lakers,Atlanta,205.5,207.5,206.125
2016,11,02,Detroit,Brooklyn,203.5,205.5,204.75
2016,11,02,Houston,New York,218.5,219.5,218.875
2016,11,02,New Orleans,Memphis,206.5,207.5,207.0
2016,11,02,Chicago,Boston,207.5,207.5,207.5
2016,11,02,Dallas,Utah,185.5,186.5,186.25
2016,11,02,Portland,Phoenix,216.5,216.5,216.5
2016,11,02,Oklahoma City,L.A. Clippers,208.5,209.5,209.0
2016,11,03,Sacramento,Orlando,198.5,199.5,198.875
2016,11,03,Denver,Minnesota,204.5,204.5,204.5
2016,11,03,Boston,Cleveland,207.5,207.5,207.5
2016,11,03,Indiana,Milwaukee,211.5,211.5,211.5
2016,11,03,Oklahoma City,Golden State,222.5,223.5,223.0
2016,11,04,Atlanta,Washington,205.5,205.5,205.5
2016,11,04,Miami,Toronto,202.5,202.5,202.5
2016,11,04,Charlotte,Brooklyn,203.5,203.5,203.5
2016,11,04,Phoenix,New Orleans,210.5,210.5,210.5
2016,11,04,New York,Chicago,209.5,210.5,210.25
2016,11,04,L.A. Clippers,Memphis,197.5,198.5,197.5
2016,11,04,Portland,Dallas,207.5,208.5,208.125
2016,11,04,San Antonio,Utah,183.5,184.5,183.875
2016,11,04,Golden State,L.A. Lakers,228.5,230.5,229.0
2016,11,05,Minnesota,Oklahoma City,209.5,210.5,209.625
2016,11,05,Cleveland,Philadelphia,208.5,210.5,209.5
2016,11,05,Washington,Orlando,201.5,201.5,201.5
2016,11,05,Chicago,Indiana,209.5,210.5,210.0
2016,11,05,Denver,Detroit,200.5,201.5,200.75
2016,11,05,Houston,Atlanta,217.5,218.5,218.25
2016,11,05,Sacramento,Milwaukee,202.5,202.5,202.5
2016,11,05,L.A. Clippers,San Antonio,196.5,198.5,197.75
2016,11,06,Utah,New York,193.5,194.5,193.625
2016,11,06,Portland,Memphis,204.5,204.5,204.5
2016,11,06,Sacramento,Toronto,197.5,198.5,197.875
2016,11,06,Milwaukee,Dallas,199.5,199.5,199.5
2016,11,06,Denver,Boston,211.5,212.5,212.25
2016,11,06,Phoenix,L.A. Lakers,215.5,216.5,216.375
2016,11,07,Utah,Philadelphia,189.5,190.5,189.875
2016,11,07,Houston,Washington,217.5,220.5,218.875
2016,11,07,Indiana,Charlotte,205.5,206.5,205.875
2016,11,07,Miami,Oklahoma City,203.5,203.5,203.5
2016,11,07,Orlando,Chicago,198.5,199.5,199.0
2016,11,07,Detroit,L.A. Clippers,196.5,197.5,196.875
2016,11,07,New Orleans,Golden State,220.5,221.5,220.75
2016,11,08,Atlanta,Cleveland,207.5,208.5,207.625
2016,11,08,Minnesota,Brooklyn,208.5,209.5,209.375
2016,11,08,Denver,Memphis,201.5,202.5,201.875
2016,11,08,Phoenix,Portland,219.5,219.5,219.5
2016,11,08,New Orleans,Sacramento,204.5,205.5,205.125
2016,11,08,Dallas,L.A. Lakers,202.5,203.5,203.125
2016,11,09,Brooklyn,New York,214.5,215.5,215.125
2016,11,09,Philadelphia,Indiana,212.5,213.5,212.75
2016,11,09,Utah,Charlotte,192.5,193.5,192.875
2016,11,09,Boston,Washington,212.5,212.5,212.5
2016,11,09,Minnesota,Orlando,201.5,201.5,201.5
2016,11,09,Chicago,Atlanta,202.5,203.5,203.125
2016,11,09,Toronto,Oklahoma City,203.5,204.5,203.75
